,angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
142,0.03,"[327, 284, 147, 187]",0.01,0.07,0.02,0.73,0.13,0.01
143,0.03,"[327, 283, 147, 187]",0.0,0.05,0.03,0.74,0.14,0.0
144,0.06,"[327, 288, 145, 179]",0.0,0.06,0.03,0.69,0.15,0.01
145,0.03,"[328, 286, 148, 184]",0.0,0.09,0.03,0.72,0.12,0.01
146,0.1,"[329, 285, 152, 188]",0.0,0.08,0.03,0.61,0.17,0.0
147,0.04,"[328, 285, 145, 186]",0.0,0.07,0.03,0.73,0.13,0.0
148,0.06,"[327, 285, 146, 185]",0.0,0.06,0.02,0.72,0.13,0.0
149,0.05,"[327, 285, 146, 185]",0.0,0.05,0.02,0.75,0.12,0.0
150,0.03,"[326, 287, 150, 182]",0.0,0.09,0.02,0.71,0.15,0.01
151,0.04,"[327, 283, 147, 188]",0.0,0.07,0.02,0.66,0.21,0.0
152,0.05,"[327, 284, 153, 187]",0.0,0.08,0.04,0.64,0.2,0.01
153,0.03,"[326, 283, 148, 188]",0.0,0.06,0.03,0.72,0.16,0.0
154,0.06,"[326, 282, 149, 190]",0.0,0.05,0.03,0.63,0.22,0.0
155,0.07,"[326, 284, 149, 188]",0.0,0.06,0.03,0.64,0.2,0.0
156,0.04,"[326, 285, 148, 186]",0.0,0.08,0.02,0.66,0.19,0.01
157,0.05,"[327, 286, 148, 185]",0.0,0.08,0.02,0.63,0.22,0.01
158,0.05,"[326, 286, 152, 185]",0.0,0.09,0.02,0.62,0.2,0.01
159,0.04,"[326, 285, 147, 185]",0.0,0.06,0.02,0.73,0.13,0.0
160,0.05,"[327, 285, 145, 184]",0.0,0.08,0.03,0.68,0.16,0.01
161,0.04,"[326, 284, 148, 187]",0.0,0.07,0.04,0.67,0.17,0.01
162,0.04,"[326, 283, 148, 187]",0.0,0.07,0.03,0.71,0.15,0.0
163,0.04,"[326, 284, 148, 186]",0.0,0.05,0.04,0.75,0.12,0.0
164,0.04,"[326, 284, 148, 186]",0.0,0.07,0.03,0.72,0.13,0.01
165,0.05,"[327, 284, 147, 186]",0.0,0.09,0.02,0.65,0.18,0.01
166,0.04,"[326, 284, 148, 187]",0.0,0.07,0.02,0.74,0.13,0.0
167,0.04,"[326, 284, 149, 186]",0.0,0.06,0.04,0.73,0.12,0.01
168,0.06,"[327, 285, 150, 186]",0.0,0.12,0.02,0.6,0.18,0.01
169,0.04,"[327, 285, 147, 186]",0.0,0.08,0.02,0.73,0.12,0.01
170,0.04,"[328, 286, 146, 185]",0.0,0.1,0.03,0.64,0.17,0.01
171,0.05,"[328, 287, 145, 183]",0.0,0.14,0.03,0.59,0.17,0.02
172,0.05,"[327, 286, 152, 185]",0.0,0.11,0.02,0.66,0.14,0.01
173,0.04,"[327, 284, 149, 187]",0.0,0.09,0.03,0.68,0.16,0.01
174,0.04,"[327, 285, 147, 186]",0.0,0.07,0.02,0.73,0.13,0.01
175,0.04,"[326, 285, 147, 186]",0.0,0.1,0.03,0.68,0.14,0.01
176,0.05,"[326, 285, 147, 186]",0.0,0.1,0.02,0.65,0.17,0.01
177,0.04,"[326, 286, 147, 184]",0.0,0.09,0.02,0.69,0.16,0.01
178,0.03,"[326, 285, 148, 186]",0.0,0.07,0.02,0.71,0.15,0.01
179,0.04,"[327, 285, 147, 186]",0.0,0.1,0.03,0.64,0.18,0.01
180,0.05,"[327, 285, 150, 185]",0.0,0.08,0.03,0.62,0.2,0.01
181,0.08,"[325, 284, 150, 188]",0.0,0.08,0.02,0.58,0.24,0.0
182,0.06,"[326, 285, 147, 186]",0.0,0.1,0.02,0.65,0.16,0.01
183,0.05,"[326, 286, 147, 185]",0.0,0.12,0.03,0.62,0.17,0.01
184,0.08,"[326, 283, 149, 189]",0.0,0.08,0.02,0.58,0.24,0.0
185,0.08,"[326, 284, 151, 188]",0.0,0.08,0.02,0.6,0.21,0.0
186,0.05,"[324, 280, 142, 189]",0.0,0.06,0.06,0.66,0.15,0.01
187,0.1,"[326, 285, 148, 187]",0.0,0.11,0.02,0.54,0.23,0.0
188,0.07,"[327, 286, 147, 183]",0.01,0.11,0.02,0.56,0.22,0.01
189,0.07,"[327, 285, 148, 186]",0.01,0.11,0.03,0.6,0.17,0.01
190,0.11,"[327, 284, 149, 188]",0.0,0.09,0.02,0.51,0.27,0.0
191,0.05,"[324, 281, 145, 190]",0.0,0.08,0.04,0.68,0.14,0.01
192,0.04,"[324, 285, 145, 189]",0.0,0.03,0.01,0.75,0.16,0.0
193,0.04,"[327, 289, 146, 181]",0.0,0.07,0.02,0.71,0.15,0.01
194,0.05,"[326, 290, 147, 181]",0.0,0.1,0.03,0.59,0.23,0.01
195,0.05,"[325, 288, 148, 184]",0.0,0.06,0.01,0.63,0.24,0.0
196,0.04,"[325, 287, 149, 185]",0.0,0.07,0.02,0.6,0.25,0.0
